alpha,beta,gamma
1.77827941003892,1.14815362149688,1.5
1.90546071796325,1.58489319246111,1.5
2.04173794466953,1.81970085860998,1.5
2.51188643150958,1.20226443461741,1.5
2.51188643150958,1.44543977074593,1.5
2.69153480392692,2.29086765276777,1.5
3.09029543251359,1.09647819614319,1.5
3.54813389233575,1.25892541179417,1.5
3.54813389233575,1.51356124843621,1.5
4.07380277804113,1.81970085860998,1.5
4.36515832240166,1.51356124843621,1.5
5.75439937337157,1.38038426460288,1.5
5.75439937337157,3.46736850452532,1.5
6.16595001861482,1.58489319246111,1.5
6.60693448007596,2.29086765276777,1.5
7.07945784384138,1.38038426460288,1.5
7.07945784384138,1.99526231496888,1.5
7.58577575029184,1.58489319246111,1.5
8.7096358995608,2.75422870333817,1.5
8.7096358995608,5.75439937337157,1.5
9.33254300796991,1.99526231496888,1.5
1,1,1.75
2,1,1.75
0.000172109291077834,0.0206400399335088,1.75
0.000121412293070633,0.0192776490788713,1.75
9.82422745744264e-05,0.013236729010649,1.75
0.01,0.208929613085404,1.75
0.01,0.263026799189538,1.75
0.01,0.363078054770101,1.75
0.01,0.630957344480193,1.75
0.0173780082874938,0.158489319246111,1.75
0.0794328234724281,0.301995172040202,1.75
0.223872113856834,0.457088189614875,1.75
0.275422870333817,0.691830970918937,1.75
0.389045144994281,0.72443596007499,1.75
0.446683592150963,0.954992586021436,1.75
0.446683592150963,1.09647819614319,1.75
0.478630092322638,0.602559586074358,1.75
0.588843655355589,0.758577575029184,1.75
0.630957344480193,1.51356124843621,1.75
0.891250938133745,0.831763771102671,1.75
1.17489755493953,1.20226443461741,1.75
1.25892541179417,2.51188643150958,1.75
1.34896288259165,0.91201083935591,1.75
1.77827941003892,1.14815362149688,1.75
1.90546071796325,1.58489319246111,1.75
2.04173794466953,1.81970085860998,1.75
2.51188643150958,1.20226443461741,1.75
2.51188643150958,1.44543977074593,1.75
2.69153480392692,2.29086765276777,1.75
3.09029543251359,1.09647819614319,1.75
3.54813389233575,1.25892541179417,1.75
3.54813389233575,1.51356124843621,1.75
4.07380277804113,1.81970085860998,1.75
4.36515832240166,1.51356124843621,1.75
5.75439937337157,1.38038426460288,1.75
5.75439937337157,3.46736850452532,1.75
6.16595001861482,1.58489319246111,1.75
6.60693448007596,2.29086765276777,1.75
7.07945784384138,1.38038426460288,1.75
7.07945784384138,1.99526231496888,1.75
7.58577575029184,1.58489319246111,1.75
8.7096358995608,2.75422870333817,1.75
8.7096358995608,5.75439937337157,1.75
9.33254300796991,1.99526231496888,1.75
